,Date,Res_Total,Load Total,Hydro Total,sum_imports,sum_exports,weekdays,weekdays0,bankdays,bankdays0,winter,spring,autumn,summer,t1_weekdays,t1_weekdays0,t1_bankdays,t1_bankdays0,t1_winter,t1_spring,t1_autumn,t1_summer
0,2020-11-13 01:00:00+01:00,435.0,4217.0,0.0,800.0,279.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
1,2020-11-13 02:00:00+01:00,415.0,4155.5,0.0,805.0,339.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
2,2020-11-13 04:00:00+01:00,395.0,4079.5,0.0,773.0,339.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
3,2020-11-13 05:00:00+01:00,375.0,4153.5,0.0,878.5,319.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
4,2020-11-13 06:00:00+01:00,365.0,4538.0,26.0,1241.5,299.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
5,2020-11-13 07:00:00+01:00,460.0,5060.5,41.0,1476.0,279.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
6,2020-11-13 08:00:00+01:00,835.0,5516.0,103.0,1401.0,279.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
7,2020-11-13 09:00:00+01:00,1320.0,5879.0,143.0,1296.0,279.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
8,2020-11-13 10:00:00+01:00,1680.0,6041.0,94.0,1318.5,279.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
9,2020-11-13 11:00:00+01:00,1820.0,6090.0,74.0,1276.5,279.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
10,2020-11-13 12:00:00+01:00,1810.0,6080.5,73.0,1203.5,279.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
11,2020-11-13 13:00:00+01:00,1695.0,6018.5,134.0,1176.5,279.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
12,2020-11-13 14:00:00+01:00,1460.0,5815.5,96.0,1186.5,279.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
13,2020-11-13 15:00:00+01:00,1050.0,5659.5,35.0,1178.0,279.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
14,2020-11-13 16:00:00+01:00,555.0,5588.0,51.0,1221.0,279.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
15,2020-11-13 17:00:00+01:00,360.0,5863.5,123.0,1377.5,279.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
16,2020-11-13 18:00:00+01:00,360.0,6273.0,358.0,1525.0,279.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
17,2020-11-13 19:00:00+01:00,345.0,6258.0,452.0,1566.5,279.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
18,2020-11-13 20:00:00+01:00,330.0,6146.5,426.0,1558.5,279.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
19,2020-11-13 21:00:00+01:00,330.0,5782.5,42.0,1574.0,279.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
20,2020-11-13 22:00:00+01:00,330.0,5200.0,76.0,1573.5,279.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
21,2020-11-13 23:00:00+01:00,320.0,4909.0,76.0,1617.5,279.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
