,SMP,Date
0,49.58,2020-11-13 01:00:00+01:00
1,48.1,2020-11-13 02:00:00+01:00
3,43.61,2020-11-13 04:00:00+01:00
4,43.61,2020-11-13 05:00:00+01:00
5,48.1,2020-11-13 06:00:00+01:00
6,60.01,2020-11-13 07:00:00+01:00
7,79.65,2020-11-13 08:00:00+01:00
8,63.88,2020-11-13 09:00:00+01:00
9,59.92,2020-11-13 10:00:00+01:00
10,55.01,2020-11-13 11:00:00+01:00
11,53.0,2020-11-13 12:00:00+01:00
12,51.58,2020-11-13 13:00:00+01:00
13,51.58,2020-11-13 14:00:00+01:00
14,61.24,2020-11-13 15:00:00+01:00
15,78.02,2020-11-13 16:00:00+01:00
16,93.18,2020-11-13 17:00:00+01:00
17,98.6,2020-11-13 18:00:00+01:00
18,96.52,2020-11-13 19:00:00+01:00
19,94.79,2020-11-13 20:00:00+01:00
20,103.09,2020-11-13 21:00:00+01:00
21,77.72,2020-11-13 22:00:00+01:00
22,51.58,2020-11-13 23:00:00+01:00
23,43.61,2020-11-14 00:00:00+01:00
24,47.24,2020-11-14 01:00:00+01:00
25,44.0,2020-11-14 02:00:00+01:00
27,38.75,2020-11-14 04:00:00+01:00
28,38.71,2020-11-14 05:00:00+01:00
29,40.72,2020-11-14 06:00:00+01:00
30,43.92,2020-11-14 07:00:00+01:00
31,45.69,2020-11-14 08:00:00+01:00
32,45.24,2020-11-14 09:00:00+01:00
33,43.19,2020-11-14 10:00:00+01:00
34,39.61,2020-11-14 11:00:00+01:00
35,40.48,2020-11-14 12:00:00+01:00
36,41.55,2020-11-14 13:00:00+01:00
37,38.43,2020-11-14 14:00:00+01:00
38,42.55,2020-11-14 15:00:00+01:00
39,50.19,2020-11-14 16:00:00+01:00
40,85.9,2020-11-14 17:00:00+01:00
41,86.15,2020-11-14 18:00:00+01:00
42,86.15,2020-11-14 19:00:00+01:00
43,86.15,2020-11-14 20:00:00+01:00
44,66.0,2020-11-14 21:00:00+01:00
45,51.58,2020-11-14 22:00:00+01:00
46,46.0,2020-11-14 23:00:00+01:00
47,38.44,2020-11-15 00:00:00+01:00
48,43.28,2020-11-15 01:00:00+01:00
49,41.55,2020-11-15 02:00:00+01:00
51,38.05,2020-11-15 04:00:00+01:00
52,35.56,2020-11-15 05:00:00+01:00
53,40.95,2020-11-15 06:00:00+01:00
54,48.1,2020-11-15 07:00:00+01:00
55,48.1,2020-11-15 08:00:00+01:00
56,48.1,2020-11-15 09:00:00+01:00
57,46.0,2020-11-15 10:00:00+01:00
58,46.0,2020-11-15 11:00:00+01:00
59,44.93,2020-11-15 12:00:00+01:00
60,42.73,2020-11-15 13:00:00+01:00
61,41.13,2020-11-15 14:00:00+01:00
62,46.17,2020-11-15 15:00:00+01:00
63,50.46,2020-11-15 16:00:00+01:00
64,84.51,2020-11-15 17:00:00+01:00
65,85.9,2020-11-15 18:00:00+01:00
66,86.13,2020-11-15 19:00:00+01:00
67,86.13,2020-11-15 20:00:00+01:00
68,86.21,2020-11-15 21:00:00+01:00
69,73.26,2020-11-15 22:00:00+01:00
70,52.15,2020-11-15 23:00:00+01:00
71,48.1,2020-11-16 00:00:00+01:00
72,33.37,2020-11-16 01:00:00+01:00
73,27.66,2020-11-16 02:00:00+01:00
75,26.56,2020-11-16 04:00:00+01:00
76,28.05,2020-11-16 05:00:00+01:00
77,41.99,2020-11-16 06:00:00+01:00
78,53.23,2020-11-16 07:00:00+01:00
79,73.75,2020-11-16 08:00:00+01:00
80,63.76,2020-11-16 09:00:00+01:00
81,66.5,2020-11-16 10:00:00+01:00
82,54.14,2020-11-16 11:00:00+01:00
83,53.93,2020-11-16 12:00:00+01:00
84,53.23,2020-11-16 13:00:00+01:00
85,53.23,2020-11-16 14:00:00+01:00
86,63.36,2020-11-16 15:00:00+01:00
87,68.07,2020-11-16 16:00:00+01:00
88,86.21,2020-11-16 17:00:00+01:00
89,110.04,2020-11-16 18:00:00+01:00
90,110.02,2020-11-16 19:00:00+01:00
91,86.21,2020-11-16 20:00:00+01:00
92,86.21,2020-11-16 21:00:00+01:00
93,78.43,2020-11-16 22:00:00+01:00
94,59.86,2020-11-16 23:00:00+01:00
95,45.95,2020-11-17 00:00:00+01:00
96,39.16,2020-11-17 01:00:00+01:00
97,33.5,2020-11-17 02:00:00+01:00
99,31.29,2020-11-17 04:00:00+01:00
100,32.05,2020-11-17 05:00:00+01:00
101,40.12,2020-11-17 06:00:00+01:00
102,50.0,2020-11-17 07:00:00+01:00
103,65.3,2020-11-17 08:00:00+01:00
104,71.1,2020-11-17 09:00:00+01:00
105,71.89,2020-11-17 10:00:00+01:00
106,70.1,2020-11-17 11:00:00+01:00
107,67.0,2020-11-17 12:00:00+01:00
108,69.0,2020-11-17 13:00:00+01:00
109,69.1,2020-11-17 14:00:00+01:00
110,71.3,2020-11-17 15:00:00+01:00
111,72.3,2020-11-17 16:00:00+01:00
112,75.3,2020-11-17 17:00:00+01:00
113,85.9,2020-11-17 18:00:00+01:00
114,84.51,2020-11-17 19:00:00+01:00
115,74.33,2020-11-17 20:00:00+01:00
116,68.55,2020-11-17 21:00:00+01:00
117,61.62,2020-11-17 22:00:00+01:00
118,44.78,2020-11-17 23:00:00+01:00
119,34.76,2020-11-18 00:00:00+01:00
120,37.5,2020-11-18 01:00:00+01:00
121,33.83,2020-11-18 02:00:00+01:00
123,29.62,2020-11-18 04:00:00+01:00
124,31.07,2020-11-18 05:00:00+01:00
125,37.79,2020-11-18 06:00:00+01:00
126,45.83,2020-11-18 07:00:00+01:00
127,53.55,2020-11-18 08:00:00+01:00
128,56.36,2020-11-18 09:00:00+01:00
129,51.16,2020-11-18 10:00:00+01:00
130,47.99,2020-11-18 11:00:00+01:00
131,47.13,2020-11-18 12:00:00+01:00
132,46.33,2020-11-18 13:00:00+01:00
133,45.55,2020-11-18 14:00:00+01:00
134,48.75,2020-11-18 15:00:00+01:00
135,54.27,2020-11-18 16:00:00+01:00
136,61.72,2020-11-18 17:00:00+01:00
137,66.45,2020-11-18 18:00:00+01:00
138,66.45,2020-11-18 19:00:00+01:00
139,66.72,2020-11-18 20:00:00+01:00
140,56.95,2020-11-18 21:00:00+01:00
141,46.72,2020-11-18 22:00:00+01:00
142,43.31,2020-11-18 23:00:00+01:00
143,36.14,2020-11-19 00:00:00+01:00
144,38.29,2020-11-19 01:00:00+01:00
145,41.28,2020-11-19 02:00:00+01:00
147,17.03,2020-11-19 04:00:00+01:00
148,18.23,2020-11-19 05:00:00+01:00
149,43.7,2020-11-19 06:00:00+01:00
150,48.26,2020-11-19 07:00:00+01:00
151,52.15,2020-11-19 08:00:00+01:00
152,52.15,2020-11-19 09:00:00+01:00
153,49.67,2020-11-19 10:00:00+01:00
154,46.22,2020-11-19 11:00:00+01:00
155,45.14,2020-11-19 12:00:00+01:00
156,42.31,2020-11-19 13:00:00+01:00
157,42.13,2020-11-19 14:00:00+01:00
158,46.22,2020-11-19 15:00:00+01:00
159,52.15,2020-11-19 16:00:00+01:00
160,63.08,2020-11-19 17:00:00+01:00
161,52.15,2020-11-19 18:00:00+01:00
162,66.23,2020-11-19 19:00:00+01:00
163,70.37,2020-11-19 20:00:00+01:00
164,60.38,2020-11-19 21:00:00+01:00
165,51.0,2020-11-19 22:00:00+01:00
166,42.42,2020-11-19 23:00:00+01:00
167,39.68,2020-11-20 00:00:00+01:00
168,25.84,2020-11-20 01:00:00+01:00
169,25.98,2020-11-20 02:00:00+01:00
171,23.18,2020-11-20 04:00:00+01:00
172,29.55,2020-11-20 05:00:00+01:00
173,36.48,2020-11-20 06:00:00+01:00
174,46.68,2020-11-20 07:00:00+01:00
175,51.7,2020-11-20 08:00:00+01:00
176,51.07,2020-11-20 09:00:00+01:00
177,51.7,2020-11-20 10:00:00+01:00
178,48.31,2020-11-20 11:00:00+01:00
179,46.73,2020-11-20 12:00:00+01:00
180,45.55,2020-11-20 13:00:00+01:00
181,46.73,2020-11-20 14:00:00+01:00
182,47.55,2020-11-20 15:00:00+01:00
183,51.7,2020-11-20 16:00:00+01:00
184,52.15,2020-11-20 17:00:00+01:00
185,58.05,2020-11-20 18:00:00+01:00
186,59.05,2020-11-20 19:00:00+01:00
187,57.53,2020-11-20 20:00:00+01:00
188,52.15,2020-11-20 21:00:00+01:00
189,43.91,2020-11-20 22:00:00+01:00
190,40.55,2020-11-20 23:00:00+01:00
191,32.24,2020-11-21 00:00:00+01:00
192,37.52,2020-11-21 01:00:00+01:00
193,34.63,2020-11-21 02:00:00+01:00
195,29.98,2020-11-21 04:00:00+01:00
196,30.2,2020-11-21 05:00:00+01:00
197,31.76,2020-11-21 06:00:00+01:00
198,36.05,2020-11-21 07:00:00+01:00
199,41.05,2020-11-21 08:00:00+01:00
200,41.26,2020-11-21 09:00:00+01:00
201,41.56,2020-11-21 10:00:00+01:00
202,41.37,2020-11-21 11:00:00+01:00
203,40.84,2020-11-21 12:00:00+01:00
204,41.41,2020-11-21 13:00:00+01:00
205,40.16,2020-11-21 14:00:00+01:00
206,41.86,2020-11-21 15:00:00+01:00
207,52.01,2020-11-21 16:00:00+01:00
208,50.07,2020-11-21 17:00:00+01:00
209,52.01,2020-11-21 18:00:00+01:00
210,52.01,2020-11-21 19:00:00+01:00
211,52.01,2020-11-21 20:00:00+01:00
212,52.01,2020-11-21 21:00:00+01:00
213,41.05,2020-11-21 22:00:00+01:00
214,38.99,2020-11-21 23:00:00+01:00
215,35.05,2020-11-22 00:00:00+01:00
216,31.13,2020-11-22 01:00:00+01:00
217,25.87,2020-11-22 02:00:00+01:00
219,24.64,2020-11-22 04:00:00+01:00
220,25.3,2020-11-22 05:00:00+01:00
221,26.89,2020-11-22 06:00:00+01:00
222,32.15,2020-11-22 07:00:00+01:00
223,37.35,2020-11-22 08:00:00+01:00
224,39.83,2020-11-22 09:00:00+01:00
225,41.09,2020-11-22 10:00:00+01:00
226,42.95,2020-11-22 11:00:00+01:00
227,46.34,2020-11-22 12:00:00+01:00
228,41.2,2020-11-22 13:00:00+01:00
229,40.95,2020-11-22 14:00:00+01:00
230,41.08,2020-11-22 15:00:00+01:00
231,46.34,2020-11-22 16:00:00+01:00
232,65.53,2020-11-22 17:00:00+01:00
233,62.41,2020-11-22 18:00:00+01:00
234,69.88,2020-11-22 19:00:00+01:00
235,58.45,2020-11-22 20:00:00+01:00
236,62.41,2020-11-22 21:00:00+01:00
237,50.8,2020-11-22 22:00:00+01:00
238,46.34,2020-11-22 23:00:00+01:00
239,44.45,2020-11-23 00:00:00+01:00
240,35.05,2020-11-23 01:00:00+01:00
241,37.05,2020-11-23 02:00:00+01:00
243,31.88,2020-11-23 04:00:00+01:00
244,38.52,2020-11-23 05:00:00+01:00
245,46.82,2020-11-23 06:00:00+01:00
246,56.5,2020-11-23 07:00:00+01:00
247,70.0,2020-11-23 08:00:00+01:00
248,69.91,2020-11-23 09:00:00+01:00
249,62.41,2020-11-23 10:00:00+01:00
250,58.01,2020-11-23 11:00:00+01:00
251,57.95,2020-11-23 12:00:00+01:00
252,58.56,2020-11-23 13:00:00+01:00
253,62.41,2020-11-23 14:00:00+01:00
254,86.13,2020-11-23 15:00:00+01:00
255,93.51,2020-11-23 16:00:00+01:00
256,93.6,2020-11-23 17:00:00+01:00
257,93.64,2020-11-23 18:00:00+01:00
258,93.65,2020-11-23 19:00:00+01:00
259,93.66,2020-11-23 20:00:00+01:00
260,93.67,2020-11-23 21:00:00+01:00
261,93.61,2020-11-23 22:00:00+01:00
262,93.59,2020-11-23 23:00:00+01:00
263,86.13,2020-11-24 00:00:00+01:00
264,47.31,2020-11-24 01:00:00+01:00
265,42.78,2020-11-24 02:00:00+01:00
267,35.27,2020-11-24 04:00:00+01:00
268,37.05,2020-11-24 05:00:00+01:00
269,43.37,2020-11-24 06:00:00+01:00
