,Res_Total,Load Total,Hydro Total,Date,sum_imports,sum_exports
0,435.0,4217.0,0.0,2020-11-13 01:00:00+01:00,800.0,279.0
1,415.0,4155.5,0.0,2020-11-13 02:00:00+01:00,805.0,339.0
2,395.0,4079.5,0.0,2020-11-13 04:00:00+01:00,773.0,339.0
3,375.0,4153.5,0.0,2020-11-13 05:00:00+01:00,878.5,319.0
4,365.0,4538.0,26.0,2020-11-13 06:00:00+01:00,1241.5,299.0
5,460.0,5060.5,41.0,2020-11-13 07:00:00+01:00,1476.0,279.0
6,835.0,5516.0,103.0,2020-11-13 08:00:00+01:00,1401.0,279.0
7,1320.0,5879.0,143.0,2020-11-13 09:00:00+01:00,1296.0,279.0
8,1680.0,6041.0,94.0,2020-11-13 10:00:00+01:00,1318.5,279.0
9,1820.0,6090.0,74.0,2020-11-13 11:00:00+01:00,1276.5,279.0
10,1810.0,6080.5,73.0,2020-11-13 12:00:00+01:00,1203.5,279.0
11,1695.0,6018.5,134.0,2020-11-13 13:00:00+01:00,1176.5,279.0
12,1460.0,5815.5,96.0,2020-11-13 14:00:00+01:00,1186.5,279.0
13,1050.0,5659.5,35.0,2020-11-13 15:00:00+01:00,1178.0,279.0
14,555.0,5588.0,51.0,2020-11-13 16:00:00+01:00,1221.0,279.0
15,360.0,5863.5,123.0,2020-11-13 17:00:00+01:00,1377.5,279.0
16,360.0,6273.0,358.0,2020-11-13 18:00:00+01:00,1525.0,279.0
17,345.0,6258.0,452.0,2020-11-13 19:00:00+01:00,1566.5,279.0
18,330.0,6146.5,426.0,2020-11-13 20:00:00+01:00,1558.5,279.0
19,330.0,5782.5,42.0,2020-11-13 21:00:00+01:00,1574.0,279.0
20,330.0,5200.0,76.0,2020-11-13 22:00:00+01:00,1573.5,279.0
21,320.0,4909.0,76.0,2020-11-13 23:00:00+01:00,1617.5,279.0
22,320.0,4488.5,0.0,2020-11-14 00:00:00+01:00,1380.5,279.0
23,320.0,4322.0,0.0,2020-11-14 01:00:00+01:00,796.5,279.0
24,360.0,4247.5,0.0,2020-11-14 02:00:00+01:00,805.0,339.0
25,385.0,4145.5,0.0,2020-11-14 04:00:00+01:00,772.0,339.0
26,435.0,3997.0,20.0,2020-11-14 05:00:00+01:00,868.5,339.0
27,445.0,4243.0,61.0,2020-11-14 06:00:00+01:00,1234.0,299.0
28,545.0,4476.5,61.0,2020-11-14 07:00:00+01:00,1475.0,279.0
29,980.0,4923.0,110.0,2020-11-14 08:00:00+01:00,1401.5,279.0
30,1550.0,5406.5,150.0,2020-11-14 09:00:00+01:00,1298.5,279.0
31,1960.0,5689.5,163.0,2020-11-14 10:00:00+01:00,1326.0,279.0
32,2130.0,5844.5,210.0,2020-11-14 11:00:00+01:00,1295.0,279.0
33,2190.0,5956.5,180.0,2020-11-14 12:00:00+01:00,1222.5,279.0
34,2130.0,5929.0,91.0,2020-11-14 13:00:00+01:00,1182.0,279.0
35,1910.0,5643.0,61.0,2020-11-14 14:00:00+01:00,1185.5,279.0
36,1480.0,5531.5,35.0,2020-11-14 15:00:00+01:00,1184.0,279.0
37,930.0,5521.0,35.0,2020-11-14 16:00:00+01:00,1229.0,279.0
38,695.0,5802.5,49.0,2020-11-14 17:00:00+01:00,1385.5,279.0
39,680.0,6202.5,133.0,2020-11-14 18:00:00+01:00,1533.0,279.0
40,665.0,6223.0,258.0,2020-11-14 19:00:00+01:00,1571.5,279.0
41,650.0,6135.5,246.0,2020-11-14 20:00:00+01:00,1559.5,279.0
42,670.0,5751.5,171.0,2020-11-14 21:00:00+01:00,1574.0,279.0
