Date,Res_Total,Load Total,Hydro Total,sum_imports,sum_exports,DEH,HERON,ELPEDISON,MYTILINEOS,SMP
2020-11-13 01:00:00+01:00,435.0,4217.0,0.0,800.0,279.0,1972.05,0.0,240.45,478.0,49.58
2020-11-13 02:00:00+01:00,415.0,4155.5,0.0,805.0,339.0,1994.55,0.0,225.05,469.9,48.1
2020-11-13 04:00:00+01:00,395.0,4079.5,0.0,773.0,339.0,1969.55,0.0,220.0,528.95,43.61
2020-11-13 05:00:00+01:00,375.0,4153.5,0.0,878.5,319.0,2214.935,0.0,229.165,578.9,43.61
2020-11-13 06:00:00+01:00,365.0,4538.0,26.0,1241.5,299.0,2327.33,0.0,250.0,649.9,48.1
2020-11-13 07:00:00+01:00,460.0,5060.5,41.0,1476.0,279.0,2300.06,0.0,343.08,796.9,60.01
2020-11-13 08:00:00+01:00,835.0,5516.0,103.0,1401.0,279.0,2384.5,0.0,300.0,909.88,79.65
2020-11-13 09:00:00+01:00,1320.0,5879.0,143.0,1296.0,279.0,2415.49,0.0,300.0,736.9,63.88
2020-11-13 10:00:00+01:00,1680.0,6041.0,94.0,1318.5,279.0,2476.04,0.0,285.0,682.9,59.92
2020-11-13 11:00:00+01:00,1820.0,6090.0,74.0,1276.5,279.0,2589.0,0.0,285.0,707.53,55.01
2020-11-13 12:00:00+01:00,1810.0,6080.5,73.0,1203.5,279.0,2528.27,0.0,285.0,707.34,53.0
2020-11-13 13:00:00+01:00,1695.0,6018.5,134.0,1176.5,279.0,2526.265,80.0,285.0,683.04,51.58
2020-11-13 14:00:00+01:00,1460.0,5815.5,96.0,1186.5,279.0,2647.76,80.0,300.0,740.9,51.58
2020-11-13 15:00:00+01:00,1050.0,5659.5,35.0,1178.0,279.0,2636.32,80.0,336.51,808.9,61.24
2020-11-13 16:00:00+01:00,555.0,5588.0,51.0,1221.0,279.0,2829.645,80.0,324.41,852.66,78.02
2020-11-13 17:00:00+01:00,360.0,5863.5,123.0,1377.5,279.0,2811.0,60.0,330.01,881.22,93.18
2020-11-13 18:00:00+01:00,360.0,6273.0,358.0,1525.0,279.0,2813.0,60.0,327.93,852.82,98.6
2020-11-13 19:00:00+01:00,345.0,6258.0,452.0,1566.5,279.0,2761.08,60.0,326.2,848.6299999999999,96.52
2020-11-13 20:00:00+01:00,330.0,6146.5,426.0,1558.5,279.0,2686.48,0.0,334.5,915.64,94.79
2020-11-13 21:00:00+01:00,330.0,5782.5,42.0,1574.0,279.0,2526.2,0.0,351.01,819.3,103.09
2020-11-13 22:00:00+01:00,330.0,5200.0,76.0,1573.5,279.0,2524.36,0.0,263.24,627.9,77.72
2020-11-13 23:00:00+01:00,320.0,4909.0,76.0,1617.5,279.0,2138.35,0.0,230.0,509.9,51.58
2020-11-14 00:00:00+01:00,320.0,4488.5,0.0,1380.5,279.0,2095.33,0.0,256.45,564.52,43.61
2020-11-14 01:00:00+01:00,320.0,4322.0,0.0,796.5,279.0,2187.84,0.0,250.24,524.29,47.24
2020-11-14 02:00:00+01:00,360.0,4247.5,0.0,805.0,339.0,2140.46,0.0,250.0,514.5899999999999,44.0
2020-11-14 04:00:00+01:00,385.0,4145.5,0.0,772.0,339.0,2134.38,0.0,250.0,487.9,38.75
2020-11-14 05:00:00+01:00,435.0,3997.0,20.0,868.5,339.0,2159.06,0.0,250.0,496.9,38.71
2020-11-14 06:00:00+01:00,445.0,4243.0,61.0,1234.0,299.0,2084.88,0.0,285.0,614.6,40.72
2020-11-14 07:00:00+01:00,545.0,4476.5,61.0,1475.0,279.0,2036.85,0.0,285.0,736.96,43.92
2020-11-14 08:00:00+01:00,980.0,4923.0,110.0,1401.5,279.0,2002.36,0.0,285.0,716.73,45.69
2020-11-14 09:00:00+01:00,1550.0,5406.5,150.0,1298.5,279.0,1975.48,0.0,285.0,680.89,45.24
2020-11-14 10:00:00+01:00,1960.0,5689.5,163.0,1326.0,279.0,1935.82,0.0,285.0,677.9,43.19
