time,temperature,windSpeed,windGust,cloudCover,uvIndex,visibility,city
2020-11-01 00:00:00+01:00,14.65,1.22,1.52,0.0,0,16.093,Athens
2020-11-01 01:00:00+01:00,14.14,1.24,1.54,0.0,0,16.093,Athens
2020-11-01 02:00:00+01:00,13.87,1.32,1.61,0.0,0,16.093,Athens
2020-11-01 03:00:00+01:00,13.18,1.31,1.7,0.0,0,16.093,Athens
2020-11-01 04:00:00+01:00,12.7,1.51,1.84,0.0,0,16.093,Athens
2020-11-01 05:00:00+01:00,12.8,1.68,1.91,0.0,0,16.093,Athens
2020-11-01 06:00:00+01:00,13.07,1.69,1.8,0.0,0,16.093,Athens
2020-11-01 07:00:00+01:00,13.74,1.65,1.74,0.0,0,16.093,Athens
2020-11-01 08:00:00+01:00,14.84,1.91,2.12,0.0,0,16.093,Athens
2020-11-01 09:00:00+01:00,17.27,2.75,3.66,0.0,1,16.093,Athens
2020-11-01 10:00:00+01:00,20.87,3.59,6.28,0.0,2,16.093,Athens
2020-11-01 11:00:00+01:00,22.51,4.32,8.08,0.13,3,16.093,Athens
2020-11-01 12:00:00+01:00,22.88,4.69,8.44,0.11,4,16.093,Athens
2020-11-01 13:00:00+01:00,22.49,4.88,8.08,0.04,4,16.093,Athens
2020-11-01 14:00:00+01:00,20.72,4.99,7.7,0.38,2,16.093,Athens
2020-11-01 15:00:00+01:00,20.6,5.02,7.61,0.28,1,16.093,Athens
2020-11-01 16:00:00+01:00,19.98,4.12,5.72,0.27,0,16.093,Athens
2020-11-01 17:00:00+01:00,19.11,3.82,5.61,0.12,0,16.093,Athens
2020-11-01 18:00:00+01:00,17.92,3.32,5.14,0.17,0,16.093,Athens
2020-11-01 19:00:00+01:00,16.79,2.77,4.5,0.09,0,16.093,Athens
2020-11-01 20:00:00+01:00,15.64,2.28,3.91,0.05,0,16.093,Athens
2020-11-01 21:00:00+01:00,14.75,2.06,3.36,0.04,0,16.093,Athens
2020-11-01 22:00:00+01:00,14.05,1.69,2.55,0.02,0,16.093,Athens
2020-11-01 23:00:00+01:00,13.53,1.55,2.17,0.1,0,16.093,Athens
2020-11-02 00:00:00+01:00,13.05,1.51,2.05,0.09,0,16.093,Athens
2020-11-02 01:00:00+01:00,12.69,1.6,2.08,0.05,0,16.093,Athens
2020-11-02 02:00:00+01:00,12.41,1.64,2.12,0.04,0,16.093,Athens
2020-11-02 03:00:00+01:00,11.9,1.75,2.06,0.06,0,16.093,Athens
2020-11-02 04:00:00+01:00,11.44,1.65,2.09,0.08,0,16.093,Athens
2020-11-02 05:00:00+01:00,11.27,1.65,2.16,0.11,0,16.093,Athens
2020-11-02 06:00:00+01:00,11.18,1.76,2.34,0.4,0,16.093,Athens
2020-11-02 07:00:00+01:00,11.43,1.96,2.56,0.19,0,16.093,Athens
2020-11-02 08:00:00+01:00,12.06,1.91,2.57,0.23,0,16.093,Athens
2020-11-02 09:00:00+01:00,14.46,1.44,2.12,0.42,1,16.093,Athens
2020-11-02 10:00:00+01:00,17.79,0.79,1.5,0.59,2,16.093,Athens
2020-11-02 11:00:00+01:00,19.81,0.45,1.17,0.89,3,16.093,Athens
2020-11-02 12:00:00+01:00,21.23,0.72,1.36,0.74,3,16.093,Athens
2020-11-02 13:00:00+01:00,22.08,1.32,1.8,0.61,3,16.093,Athens
2020-11-02 14:00:00+01:00,21.03,1.69,2.05,0.94,2,16.093,Athens
2020-11-02 15:00:00+01:00,20.73,1.66,1.91,0.99,1,16.093,Athens
2020-11-02 16:00:00+01:00,20.33,1.66,1.92,0.98,0,16.093,Athens
2020-11-02 17:00:00+01:00,19.77,1.39,1.67,0.88,0,16.093,Athens
2020-11-02 18:00:00+01:00,18.79,1.05,1.36,0.76,0,16.093,Athens
2020-11-02 19:00:00+01:00,17.75,0.65,1.01,0.79,0,16.093,Athens
2020-11-02 20:00:00+01:00,16.82,0.39,0.78,0.69,0,16.093,Athens
2020-11-02 21:00:00+01:00,16.17,0.35,0.79,0.5,0,16.093,Athens
2020-11-02 22:00:00+01:00,15.78,0.44,0.76,0.52,0,16.093,Athens
2020-11-02 23:00:00+01:00,15.43,0.54,0.87,0.45,0,16.093,Athens
2020-11-03 00:00:00+01:00,15.19,0.65,0.95,0.46,0,16.093,Athens
2020-11-03 01:00:00+01:00,14.81,0.76,1.06,0.71,0,16.093,Athens
2020-11-03 02:00:00+01:00,14.82,0.88,1.19,0.79,0,16.093,Athens
2020-11-03 03:00:00+01:00,14.29,0.89,1.35,0.85,0,16.093,Athens
2020-11-03 04:00:00+01:00,13.93,0.98,1.54,0.93,0,16.093,Athens
2020-11-03 05:00:00+01:00,13.98,1.06,1.55,0.94,0,16.093,Athens
2020-11-03 06:00:00+01:00,14.19,1.18,1.64,0.98,0,16.093,Athens
2020-11-03 07:00:00+01:00,14.42,1.28,1.68,0.97,0,16.093,Athens
2020-11-03 08:00:00+01:00,15.02,1.27,1.66,0.97,0,16.093,Athens
2020-11-03 09:00:00+01:00,16.54,1.01,1.53,0.98,1,16.093,Athens
2020-11-03 10:00:00+01:00,18.96,0.95,1.79,0.98,2,16.093,Athens
2020-11-03 11:00:00+01:00,20.37,0.69,1.65,0.99,2,16.093,Athens
2020-11-03 12:00:00+01:00,21.07,0.52,1.26,0.99,3,16.093,Athens
2020-11-03 13:00:00+01:00,19.96,0.42,0.74,0.99,3,16.093,Athens
2020-11-03 14:00:00+01:00,20.03,0.31,0.4,0.99,2,16.093,Athens
2020-11-03 15:00:00+01:00,19.83,0.34,0.41,0.99,1,16.093,Athens
2020-11-03 16:00:00+01:00,19.58,0.24,0.35,0.99,0,16.093,Athens
2020-11-03 17:00:00+01:00,19.47,0.24,0.35,0.99,0,16.093,Athens
2020-11-03 18:00:00+01:00,18.9,0.35,0.48,0.99,0,16.093,Athens
2020-11-03 19:00:00+01:00,18.18,0.54,0.72,0.99,0,16.093,Athens
2020-11-03 20:00:00+01:00,17.59,0.73,0.94,0.99,0,16.093,Athens
2020-11-03 21:00:00+01:00,17.06,0.88,1.08,0.98,0,16.093,Athens
2020-11-03 22:00:00+01:00,16.61,0.93,1.01,0.98,0,16.093,Athens
2020-11-03 23:00:00+01:00,16.2,1.07,1.12,0.98,0,16.093,Athens
2020-11-04 00:00:00+01:00,15.83,1.36,1.5,0.98,0,16.093,Athens
2020-11-04 01:00:00+01:00,15.44,1.68,2.0,0.96,0,16.093,Athens
2020-11-04 02:00:00+01:00,15.21,1.96,2.38,0.93,0,16.093,Athens
2020-11-04 03:00:00+01:00,14.95,2.15,2.55,0.9,0,16.093,Athens
2020-11-04 04:00:00+01:00,14.49,2.21,2.72,0.68,0,16.093,Athens
2020-11-04 05:00:00+01:00,14.25,2.15,2.68,0.84,0,16.093,Athens
2020-11-04 06:00:00+01:00,14.41,2.15,2.6,0.89,0,16.093,Athens
2020-11-04 07:00:00+01:00,14.63,2.08,2.51,0.89,0,16.093,Athens
2020-11-04 08:00:00+01:00,15.16,2.09,2.5,0.76,0,16.093,Athens
2020-11-04 09:00:00+01:00,16.99,2.17,2.63,0.7,1,16.093,Athens
2020-11-04 10:00:00+01:00,19.55,2.5,3.3,0.5,2,16.093,Athens
2020-11-04 11:00:00+01:00,21.6,2.61,3.39,0.42,3,16.093,Athens
2020-11-04 12:00:00+01:00,22.71,2.64,3.46,0.38,4,16.093,Athens
2020-11-04 13:00:00+01:00,23.2,2.77,3.57,0.68,3,16.093,Athens
2020-11-04 14:00:00+01:00,21.59,2.93,3.95,0.7,2,16.093,Athens
2020-11-04 15:00:00+01:00,20.99,3.19,4.79,0.81,1,16.093,Athens
2020-11-04 16:00:00+01:00,20.08,3.62,5.22,0.76,0,16.093,Athens
2020-11-04 17:00:00+01:00,19.46,3.81,5.79,0.79,0,16.093,Athens
2020-11-04 18:00:00+01:00,18.66,3.98,6.89,0.84,0,16.093,Athens
2020-11-04 19:00:00+01:00,18.04,4.19,8.23,0.9,0,16.093,Athens
2020-11-04 20:00:00+01:00,17.26,4.29,9.11,0.91,0,16.093,Athens
2020-11-04 21:00:00+01:00,16.73,4.27,9.22,0.94,0,16.093,Athens
