time,temperature,windSpeed,windGust,cloudCover,uvIndex,visibility,city
2020-11-01 00:00:00+01:00,15.97,1.78,4.59,0.25,0,16.093,Hraklio
2020-11-01 01:00:00+01:00,15.85,2.02,5.27,0.25,0,16.093,Hraklio
2020-11-01 02:00:00+01:00,15.84,2.19,5.64,0.31,0,16.093,Hraklio
2020-11-01 03:00:00+01:00,15.89,2.19,5.33,0.29,0,16.093,Hraklio
2020-11-01 04:00:00+01:00,16.07,2.17,5.14,0.36,0,16.093,Hraklio
2020-11-01 05:00:00+01:00,16.17,2.62,4.93,0.38,0,16.093,Hraklio
2020-11-01 06:00:00+01:00,16.38,2.12,5.2,0.3,0,16.093,Hraklio
2020-11-01 07:00:00+01:00,16.51,2.13,5.71,0.41,0,16.093,Hraklio
2020-11-01 08:00:00+01:00,17.48,2.75,6.11,0.36,0,16.093,Hraklio
2020-11-01 09:00:00+01:00,19.24,2.65,6.31,0.39,1,16.093,Hraklio
2020-11-01 10:00:00+01:00,20.55,3.91,6.11,0.47,2,16.093,Hraklio
2020-11-01 11:00:00+01:00,21.85,4.38,6.21,0.31,4,16.093,Hraklio
2020-11-01 12:00:00+01:00,22.47,4.67,6.2,0.37,4,16.093,Hraklio
2020-11-01 13:00:00+01:00,22.76,4.75,6.13,0.37,4,16.093,Hraklio
2020-11-01 14:00:00+01:00,21.34,5.01,6.12,0.47,3,16.093,Hraklio
2020-11-01 15:00:00+01:00,21.11,5.13,6.23,0.55,1,16.093,Hraklio
2020-11-01 16:00:00+01:00,20.73,5.17,6.44,0.5,0,16.093,Hraklio
2020-11-01 17:00:00+01:00,20.3,5.11,6.58,0.46,0,16.093,Hraklio
2020-11-01 18:00:00+01:00,19.93,4.73,6.73,0.51,0,16.093,Hraklio
2020-11-01 19:00:00+01:00,19.58,4.35,6.86,0.53,0,16.093,Hraklio
2020-11-01 20:00:00+01:00,19.34,4.7,6.85,0.57,0,16.093,Hraklio
2020-11-01 21:00:00+01:00,19.13,4.21,6.45,0.53,0,16.093,Hraklio
2020-11-01 22:00:00+01:00,18.73,3.98,6.2,0.51,0,16.093,Hraklio
2020-11-01 23:00:00+01:00,18.48,3.89,5.87,0.35,0,16.093,Hraklio
2020-11-02 00:00:00+01:00,18.14,4.16,5.83,0.33,0,16.093,Hraklio
2020-11-02 01:00:00+01:00,17.59,4.04,5.93,0.3,0,16.093,Hraklio
2020-11-02 02:00:00+01:00,17.45,4.36,6.18,0.25,0,16.093,Hraklio
2020-11-02 03:00:00+01:00,17.29,4.45,6.47,0.23,0,16.093,Hraklio
2020-11-02 04:00:00+01:00,17.23,4.21,7.31,0.17,0,16.093,Hraklio
2020-11-02 05:00:00+01:00,17.0,4.44,7.25,0.13,0,16.093,Hraklio
2020-11-02 06:00:00+01:00,17.39,4.27,7.15,0.17,0,16.093,Hraklio
2020-11-02 07:00:00+01:00,17.4,4.2,6.99,0.15,0,16.093,Hraklio
2020-11-02 08:00:00+01:00,17.94,4.24,6.88,0.16,0,16.093,Hraklio
