time,temperature,windSpeed,windGust,cloudCover,uvIndex,visibility,city
2020-11-01 00:00:00+01:00,12.28,0.71,1.0,0.07,0,16.093,Larissa
2020-11-01 01:00:00+01:00,11.74,0.7,0.98,0.03,0,16.093,Larissa
2020-11-01 02:00:00+01:00,11.3,0.69,0.94,0.0,0,16.093,Larissa
2020-11-01 03:00:00+01:00,11.07,0.85,0.96,0.0,0,16.093,Larissa
2020-11-01 04:00:00+01:00,10.47,0.77,0.9,0.01,0,16.093,Larissa
2020-11-01 05:00:00+01:00,9.85,0.63,0.73,0.09,0,16.093,Larissa
2020-11-01 06:00:00+01:00,9.48,0.61,0.73,0.22,0,16.093,Larissa
2020-11-01 07:00:00+01:00,9.34,0.66,0.85,0.16,0,16.093,Larissa
2020-11-01 08:00:00+01:00,9.83,0.77,1.11,0.21,0,16.093,Larissa
2020-11-01 09:00:00+01:00,12.19,0.94,1.59,0.19,1,16.093,Larissa
2020-11-01 10:00:00+01:00,15.42,0.93,1.57,0.31,2,16.093,Larissa
2020-11-01 11:00:00+01:00,18.31,0.98,1.62,0.29,3,16.093,Larissa
2020-11-01 12:00:00+01:00,20.49,0.99,1.41,0.27,3,16.093,Larissa
2020-11-01 13:00:00+01:00,22.04,1.0,1.16,0.23,3,16.093,Larissa
2020-11-01 14:00:00+01:00,21.53,1.14,1.26,0.37,2,16.093,Larissa
2020-11-01 15:00:00+01:00,21.63,1.59,2.28,0.37,1,16.093,Larissa
2020-11-01 16:00:00+01:00,21.07,1.94,3.46,0.27,0,16.093,Larissa
2020-11-01 17:00:00+01:00,19.82,2.15,4.28,0.1,0,16.093,Larissa
2020-11-01 18:00:00+01:00,18.01,1.97,3.99,0.08,0,16.093,Larissa
2020-11-01 19:00:00+01:00,16.04,1.6,3.11,0.07,0,16.093,Larissa
2020-11-01 20:00:00+01:00,14.31,1.27,2.28,0.13,0,16.093,Larissa
2020-11-01 21:00:00+01:00,13.3,1.04,1.72,0.22,0,16.093,Larissa
2020-11-01 22:00:00+01:00,12.64,0.75,1.17,0.46,0,16.093,Larissa
2020-11-01 23:00:00+01:00,12.01,0.61,0.83,0.31,0,16.093,Larissa
2020-11-02 00:00:00+01:00,11.35,0.54,0.65,0.29,0,16.093,Larissa
2020-11-02 01:00:00+01:00,10.72,0.53,0.58,0.24,0,16.093,Larissa
2020-11-02 02:00:00+01:00,10.32,0.52,0.6,0.18,0,16.093,Larissa
2020-11-02 03:00:00+01:00,9.95,0.53,0.66,0.15,0,16.093,Larissa
2020-11-02 04:00:00+01:00,9.47,0.51,0.62,0.15,0,16.093,Larissa
2020-11-02 05:00:00+01:00,8.92,0.51,0.68,0.18,0,16.093,Larissa
