time,temperature,windSpeed,windGust,cloudCover,uvIndex,visibility,city
2020-11-01 00:00:00+01:00,17.39,1.33,1.68,0.0,0,16.093,Patra
2020-11-01 01:00:00+01:00,17.14,1.22,1.47,0.0,0,16.093,Patra
2020-11-01 02:00:00+01:00,16.84,1.14,1.32,0.0,0,16.093,Patra
2020-11-01 03:00:00+01:00,16.26,1.33,1.34,0.0,0,16.093,Patra
2020-11-01 04:00:00+01:00,16.0,1.21,1.32,0.0,0,16.093,Patra
2020-11-01 05:00:00+01:00,15.78,1.21,1.49,0.0,0,16.093,Patra
2020-11-01 06:00:00+01:00,15.69,1.16,1.38,0.0,0,16.093,Patra
2020-11-01 07:00:00+01:00,15.48,1.08,1.14,0.0,0,16.093,Patra
2020-11-01 08:00:00+01:00,15.8,1.02,1.03,0.0,0,16.093,Patra
2020-11-01 09:00:00+01:00,17.2,0.98,1.0,0.0,1,16.093,Patra
2020-11-01 10:00:00+01:00,19.16,1.09,1.3,0.02,2,16.093,Patra
2020-11-01 11:00:00+01:00,20.54,1.04,1.36,0.03,3,16.093,Patra
2020-11-01 12:00:00+01:00,21.72,0.99,1.35,0.33,4,16.093,Patra
2020-11-01 13:00:00+01:00,22.52,0.94,1.31,0.75,3,16.093,Patra
2020-11-01 14:00:00+01:00,21.69,0.88,1.27,0.57,2,16.093,Patra
2020-11-01 15:00:00+01:00,21.7,0.97,1.23,0.2,2,16.093,Patra
2020-11-01 16:00:00+01:00,21.5,0.96,1.26,0.21,1,16.093,Patra
2020-11-01 17:00:00+01:00,21.1,0.85,1.18,0.22,0,16.093,Patra
2020-11-01 18:00:00+01:00,20.34,0.86,0.96,0.2,0,16.093,Patra
2020-11-01 19:00:00+01:00,19.4,0.95,0.96,0.24,0,16.093,Patra
2020-11-01 20:00:00+01:00,18.55,1.14,1.15,0.21,0,16.093,Patra
2020-11-01 21:00:00+01:00,18.24,1.52,1.59,0.4,0,16.093,Patra
2020-11-01 22:00:00+01:00,18.09,2.07,2.85,0.83,0,16.093,Patra
2020-11-01 23:00:00+01:00,17.81,2.32,3.41,0.76,0,16.093,Patra
2020-11-02 00:00:00+01:00,17.39,2.23,3.21,0.26,0,16.093,Patra
2020-11-02 01:00:00+01:00,17.04,1.94,2.62,0.23,0,16.093,Patra
2020-11-02 02:00:00+01:00,16.75,1.67,2.02,0.2,0,16.093,Patra
2020-11-02 03:00:00+01:00,16.06,1.51,1.52,0.16,0,16.093,Patra
2020-11-02 04:00:00+01:00,15.85,1.05,1.06,0.33,0,16.093,Patra
2020-11-02 05:00:00+01:00,15.79,0.8,0.81,0.35,0,16.093,Patra
2020-11-02 06:00:00+01:00,15.78,0.74,0.74,0.76,0,16.093,Patra
2020-11-02 07:00:00+01:00,15.6,0.79,0.79,0.68,0,16.093,Patra
2020-11-02 08:00:00+01:00,16.03,0.89,0.9,0.85,0,16.093,Patra
2020-11-02 09:00:00+01:00,17.23,1.03,1.03,0.9,1,16.093,Patra
2020-11-02 10:00:00+01:00,19.59,1.21,1.21,0.96,2,16.093,Patra
2020-11-02 11:00:00+01:00,20.8,1.29,1.29,1.0,2,16.093,Patra
2020-11-02 12:00:00+01:00,21.31,1.49,1.52,1.0,3,16.093,Patra
2020-11-02 13:00:00+01:00,21.17,1.76,1.99,1.0,3,16.093,Patra
