time,temperature,windSpeed,windGust,cloudCover,uvIndex,visibility,city
2020-11-01 00:00:00+01:00,15.74,1.74,2.29,0.0,0,16.093,Pireas
2020-11-01 01:00:00+01:00,15.33,1.76,2.37,0.0,0,16.093,Pireas
2020-11-01 02:00:00+01:00,15.07,1.85,2.46,0.0,0,16.093,Pireas
2020-11-01 03:00:00+01:00,14.72,1.85,2.58,0.0,0,16.093,Pireas
2020-11-01 04:00:00+01:00,14.45,2.08,2.72,0.0,0,16.093,Pireas
2020-11-01 05:00:00+01:00,14.63,2.24,2.76,0.0,0,16.093,Pireas
2020-11-01 06:00:00+01:00,14.91,2.22,2.61,0.0,0,16.093,Pireas
2020-11-01 07:00:00+01:00,15.58,2.15,2.47,0.0,0,16.093,Pireas
2020-11-01 08:00:00+01:00,16.57,2.37,2.81,0.01,0,16.093,Pireas
2020-11-01 09:00:00+01:00,18.69,3.17,4.3,0.0,1,16.093,Pireas
2020-11-01 10:00:00+01:00,21.21,4.13,6.89,0.0,2,16.093,Pireas
2020-11-01 11:00:00+01:00,22.55,4.86,8.69,0.07,3,16.093,Pireas
2020-11-01 12:00:00+01:00,23.02,5.04,8.82,0.09,4,16.093,Pireas
2020-11-01 13:00:00+01:00,22.9,4.96,8.14,0.05,4,16.093,Pireas
2020-11-01 14:00:00+01:00,21.38,4.88,7.53,0.38,2,16.093,Pireas
2020-11-01 15:00:00+01:00,21.14,4.93,7.42,0.3,1,16.093,Pireas
2020-11-01 16:00:00+01:00,20.5,4.38,5.92,0.26,0,16.093,Pireas
2020-11-01 17:00:00+01:00,19.75,4.27,5.92,0.15,0,16.093,Pireas
2020-11-01 18:00:00+01:00,18.77,3.82,5.34,0.18,0,16.093,Pireas
2020-11-01 19:00:00+01:00,17.74,3.24,4.52,0.15,0,16.093,Pireas
2020-11-01 20:00:00+01:00,16.7,2.69,3.79,0.07,0,16.093,Pireas
2020-11-01 21:00:00+01:00,15.85,2.38,3.2,0.04,0,16.093,Pireas
2020-11-01 22:00:00+01:00,15.14,1.95,2.45,0.02,0,16.093,Pireas
2020-11-01 23:00:00+01:00,14.57,1.7,2.02,0.16,0,16.093,Pireas
2020-11-02 00:00:00+01:00,14.1,1.62,1.92,0.2,0,16.093,Pireas
2020-11-02 01:00:00+01:00,13.81,1.72,1.99,0.18,0,16.093,Pireas
2020-11-02 02:00:00+01:00,13.59,1.78,2.06,0.09,0,16.093,Pireas
2020-11-02 03:00:00+01:00,13.44,1.94,2.13,0.09,0,16.093,Pireas
2020-11-02 04:00:00+01:00,13.31,1.87,2.16,0.09,0,16.093,Pireas
2020-11-02 05:00:00+01:00,13.26,1.87,2.21,0.09,0,16.093,Pireas
2020-11-02 06:00:00+01:00,13.24,1.95,2.34,0.34,0,16.093,Pireas
2020-11-02 07:00:00+01:00,13.55,2.13,2.48,0.17,0,16.093,Pireas
2020-11-02 08:00:00+01:00,14.17,2.05,2.45,0.33,0,16.093,Pireas
2020-11-02 09:00:00+01:00,16.14,1.6,2.01,0.53,1,16.093,Pireas
2020-11-02 10:00:00+01:00,18.6,0.95,1.42,0.63,2,16.093,Pireas
2020-11-02 11:00:00+01:00,20.14,0.61,1.1,0.88,3,16.093,Pireas
2020-11-02 12:00:00+01:00,21.3,0.83,1.23,0.66,3,16.093,Pireas
2020-11-02 13:00:00+01:00,21.99,1.37,1.61,0.67,3,16.093,Pireas
