time,temperature,windSpeed,windGust,cloudCover,uvIndex,visibility,city
2020-11-01 00:00:00+01:00,16.84,4.67,11.03,0.27,0,16.093,Thessaloniki
2020-11-01 01:00:00+01:00,16.68,4.94,11.28,0.19,0,16.093,Thessaloniki
2020-11-01 02:00:00+01:00,16.47,5.14,11.52,0.14,0,16.093,Thessaloniki
2020-11-01 03:00:00+01:00,16.32,5.65,11.88,0.29,0,16.093,Thessaloniki
2020-11-01 04:00:00+01:00,15.88,5.57,12.68,0.27,0,16.093,Thessaloniki
2020-11-01 05:00:00+01:00,15.26,5.28,12.3,0.09,0,16.093,Thessaloniki
2020-11-01 06:00:00+01:00,14.53,4.78,11.31,0.07,0,16.093,Thessaloniki
2020-11-01 07:00:00+01:00,14.26,4.22,9.91,0.16,0,16.093,Thessaloniki
2020-11-01 08:00:00+01:00,14.13,3.81,8.51,0.58,0,16.093,Thessaloniki
2020-11-01 09:00:00+01:00,15.76,3.66,7.07,0.76,1,16.093,Thessaloniki
2020-11-01 10:00:00+01:00,18.11,4.37,8.71,0.46,2,16.093,Thessaloniki
2020-11-01 11:00:00+01:00,19.87,4.47,7.68,0.25,3,16.093,Thessaloniki
2020-11-01 12:00:00+01:00,21.3,4.48,7.05,0.22,3,16.093,Thessaloniki
2020-11-01 13:00:00+01:00,22.28,4.51,6.62,0.17,3,16.093,Thessaloniki
2020-11-01 14:00:00+01:00,21.38,4.39,6.25,0.13,2,16.093,Thessaloniki
2020-11-01 15:00:00+01:00,21.4,4.53,5.88,0.08,1,16.093,Thessaloniki
2020-11-01 16:00:00+01:00,20.95,4.06,6.1,0.03,0,16.093,Thessaloniki
2020-11-01 17:00:00+01:00,19.9,3.53,6.05,0.0,0,16.093,Thessaloniki
2020-11-01 18:00:00+01:00,18.17,3.3,5.82,0.03,0,16.093,Thessaloniki
2020-11-01 19:00:00+01:00,16.56,3.07,5.46,0.14,0,16.093,Thessaloniki
2020-11-01 20:00:00+01:00,15.08,2.83,4.97,0.2,0,16.093,Thessaloniki
2020-11-01 21:00:00+01:00,14.07,2.46,4.25,0.3,0,16.093,Thessaloniki
2020-11-01 22:00:00+01:00,13.33,1.85,2.9,0.19,0,16.093,Thessaloniki
2020-11-01 23:00:00+01:00,12.71,1.62,2.48,0.11,0,16.093,Thessaloniki
2020-11-02 00:00:00+01:00,12.15,1.68,2.37,0.11,0,16.093,Thessaloniki
2020-11-02 01:00:00+01:00,11.73,1.91,2.42,0.48,0,16.093,Thessaloniki
2020-11-02 02:00:00+01:00,11.57,2.05,2.39,0.35,0,16.093,Thessaloniki
2020-11-02 03:00:00+01:00,11.09,1.85,2.14,0.3,0,16.093,Thessaloniki
2020-11-02 04:00:00+01:00,10.53,1.82,2.03,0.38,0,16.093,Thessaloniki
2020-11-02 05:00:00+01:00,10.32,1.73,1.87,0.46,0,16.093,Thessaloniki
2020-11-02 06:00:00+01:00,10.27,1.65,1.72,0.5,0,16.093,Thessaloniki
2020-11-02 07:00:00+01:00,10.38,1.53,1.56,0.52,0,16.093,Thessaloniki
2020-11-02 08:00:00+01:00,11.04,1.45,1.47,0.77,0,16.093,Thessaloniki
2020-11-02 09:00:00+01:00,12.92,1.43,1.44,0.8,1,16.093,Thessaloniki
2020-11-02 10:00:00+01:00,14.95,1.56,1.6,0.94,2,16.093,Thessaloniki
2020-11-02 11:00:00+01:00,16.56,1.63,1.66,0.98,2,16.093,Thessaloniki
2020-11-02 12:00:00+01:00,18.25,1.64,1.73,0.92,2,16.093,Thessaloniki
2020-11-02 13:00:00+01:00,19.9,1.65,1.81,0.73,3,16.093,Thessaloniki
2020-11-02 14:00:00+01:00,20.63,1.64,1.93,0.77,2,16.093,Thessaloniki
2020-11-02 15:00:00+01:00,20.72,1.5,2.1,0.65,1,16.093,Thessaloniki
2020-11-02 16:00:00+01:00,20.39,1.36,2.08,0.77,0,16.093,Thessaloniki
2020-11-02 17:00:00+01:00,19.58,1.38,2.27,0.63,0,16.093,Thessaloniki
2020-11-02 18:00:00+01:00,18.22,1.19,2.08,0.58,0,16.093,Thessaloniki
2020-11-02 19:00:00+01:00,16.87,0.96,1.69,0.75,0,16.093,Thessaloniki
2020-11-02 20:00:00+01:00,16.1,0.88,1.41,0.8,0,16.093,Thessaloniki
2020-11-02 21:00:00+01:00,15.34,0.97,1.4,0.79,0,16.093,Thessaloniki
2020-11-02 22:00:00+01:00,14.9,1.15,1.43,0.86,0,16.093,Thessaloniki
2020-11-02 23:00:00+01:00,14.54,1.29,1.49,0.96,0,16.093,Thessaloniki
2020-11-03 00:00:00+01:00,14.32,1.29,1.4,0.91,0,16.093,Thessaloniki
2020-11-03 01:00:00+01:00,14.13,1.21,1.26,0.91,0,16.093,Thessaloniki
2020-11-03 02:00:00+01:00,13.87,1.15,1.15,0.95,0,16.093,Thessaloniki
2020-11-03 03:00:00+01:00,13.59,1.2,1.2,0.96,0,16.093,Thessaloniki
2020-11-03 04:00:00+01:00,13.24,1.28,1.28,0.97,0,16.093,Thessaloniki
2020-11-03 05:00:00+01:00,13.37,1.27,1.27,0.98,0,16.093,Thessaloniki
2020-11-03 06:00:00+01:00,13.36,1.26,1.3,0.98,0,16.093,Thessaloniki
2020-11-03 07:00:00+01:00,13.4,1.21,1.43,0.99,0,16.093,Thessaloniki
